"titel","subtitel","autor","volume","issue","heft","pubdatum","seiten","zitat_url","volltext_url",,
"Europa - nichts als ein Versprechen                                                                                                                                                                                                                            ","","[""Enkelmann, Wolf Dieter""]","60                       ","12                       ","Heft: 692                ","2006-12","1103-1112","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Europa+-+nichts+als+ein+Versprechen&rft.volume=60&rft.issue=12&rft.spage=1103&rft.epage=1112&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Gerechtigkeit in Zeiten der Globalisierung                                                                                                                                                                                                                     ","","[""Höffe, Otfried""]","60                       ","12                       ","Heft: 692                ","2006-12","1113-1124","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Gerechtigkeit+in+Zeiten+der+Globalisierung&rft.volume=60&rft.issue=12&rft.spage=1113&rft.epage=1124&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Abschied von der Dogmatik                                                                                                                                                                                                                                      ","","[""Schlink, Bernhard""]","60                       ","12                       ","Heft: 692                ","2006-12","1125-1135","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Abschied+von+der+Dogmatik&rft.volume=60&rft.issue=12&rft.spage=1125&rft.epage=1135&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Schwarzer Humanismus                                                                                                                                                                                                                                           ","","[""Schwindt, Jürgen Paul""]","60                       ","12                       ","Heft: 692                ","2006-12","1136-1150","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Schwarzer+Humanismus&rft.volume=60&rft.issue=12&rft.spage=1136&rft.epage=1150&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Rechtskolumne                                                                                                                                                                                                                                                  ","","[""Stolleis, Michael""]","60                       ","12                       ","Heft: 692                ","2006-12","1151-1156","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Rechtskolumne&rft.volume=60&rft.issue=12&rft.spage=1151&rft.epage=1156&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Soziologiekolumne                                                                                                                                                                                                                                              ","","[""Ackermann, Ulrike""]","60                       ","12                       ","Heft: 692                ","2006-12","1157-1162","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Soziologiekolumne&rft.volume=60&rft.issue=12&rft.spage=1157&rft.epage=1162&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"In den inneren Tropen der Menschen                                                                                                                                                                                                                             ","","[""Schimmang, Jochen""]","60                       ","12                       ","Heft: 692                ","2006-12","1162-1168","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=In+den+inneren+Tropen+der+Menschen&rft.volume=60&rft.issue=12&rft.spage=1162&rft.epage=1168&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Eine alte Botschaft aus Neuengland                                                                                                                                                                                                                             ","","[""Schäfer, Gerd""]","60                       ","12                       ","Heft: 692                ","2006-12","1168-1172","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Eine+alte+Botschaft+aus+Neuengland&rft.volume=60&rft.issue=12&rft.spage=1168&rft.epage=1172&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Darf der Islam verspottet werden?                                                                                                                                                                                                                              ","","[""Rossen-Stadtfeld, Helge""]","60                       ","12                       ","Heft: 692                ","2006-12","1173-1178","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Darf+der+Islam+verspottet+werden%3F&rft.volume=60&rft.issue=12&rft.spage=1173&rft.epage=1178&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Billy Budd und Zinédine Zidane                                                                                                                                                                                                                                 ","","[""Gebert, Sigbert""]","60                       ","12                       ","Heft: 692                ","2006-12","1179-1183","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Billy+Budd+und+Zin%C3%A9dine+Zidane&rft.volume=60&rft.issue=12&rft.spage=1179&rft.epage=1183&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"»Alles Schreiben mit Gewalt ist falsch«                                                                                                                                                                                                                        ","","[""Gerlach, Rainer""]","60                       ","12                       ","Heft: 692                ","2006-12","1183-1189","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C2%BBAlles+Schreiben+mit+Gewalt+ist+falsch%C2%AB&rft.volume=60&rft.issue=12&rft.spage=1183&rft.epage=1189&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Chronik (XXIII)                                                                                                                                                                                                                                                ","","[""Hanika, Iris""]","60                       ","12                       ","Heft: 692                ","2006-12","1189-1193","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Chronik+%28XXIII%29&rft.volume=60&rft.issue=12&rft.spage=1189&rft.epage=1193&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Weltgefühle, deutsche Gefühle                                                                                                                                                                                                                                  ","","[""Hondrich, Karl Otto""]","60                       ","11                       ","Heft: 691                ","2006-11","1011-1024","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Weltgef%C3%BChle%2C+deutsche+Gef%C3%BChle&rft.volume=60&rft.issue=11&rft.spage=1011&rft.epage=1024&rft.issn=0026-0096","                                                                                                                                                                                                                                                               "
"Kulturelle Grundlagen wirtschaftlichen Erfolgs                                                                                                                                                                                                                 ","","[""Kohlhammer, Siegfried""]","60                       ","11                       ","Heft: 691                ","2006-11","1025-1037","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Kulturelle+Grundlagen+wirtschaftlichen+Erfolgs&rft.volume=60&rft.issue=11&rft.spage=1025&rft.epage=1037&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Das Opfer des eigenen Lebens                                                                                                                                                                                                                                   ","","[""Pohlmann, Friedrich""]","60                       ","11                       ","Heft: 691                ","2006-11","1038-1045","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Das+Opfer+des+eigenen+Lebens&rft.volume=60&rft.issue=11&rft.spage=1038&rft.epage=1045&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Neid                                                                                                                                                                                                                                                           ","","[""Paris, Rainer""]","60                       ","11                       ","Heft: 691                ","2006-11","1046-1060","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Neid&rft.volume=60&rft.issue=11&rft.spage=1046&rft.epage=1060&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
